Area in sq ft,BHK,Bathroom,Balcony,Parking,Furnishing,Price in rupees
650,1,1,1,1,1,4500000
2538,3,4,3,1,0,9660000
1295,2,2,2,0,0,6260000
1825,4,3,3,1,1,8975000
1050,2,2,1,0,1,6225000
1700,3,3,2,1,0,7985000
1700,3,2,1,1,0,7735000
3225,4,5,3,1,1,11325000
7015,5,6,3,1,1,16825000
600,1,1,1,1,0,4435000
435,1,1,1,1,1,3700000
2050,4,3,3,1,1,9675000
2100,4,3,3,0,0,9535000
3000,5,4,3,1,0,11160000
850,1,1,1,1,0,4435000
1020,2,2,1,0,1,6225000
754,2,2,1,0,1,5525000
1151,3,2,3,1,0,7260000
1471,3,2,2,1,0,7135000
560,1,2,1,1,0,4635000
771,1,1,2,1,1,4600000
1058,2,2,1,1,1,6300000
815,2,1,1,0,1,5325000
672,1,1,1,1,0,4435000
1602,3,3,3,1,0,8110000
7304,6,6,3,1,0,17360000
700,2,2,1,1,0,5535000
1151,4,2,0,1,0,7605000
1400,4,2,1,1,0,7835000
1420,3,2,2,0,1,7125000
1475,3,2,3,0,1,7250000
1400,3,3,2,1,0,7285000
600,1,1,1,1,0,4435000
380,1,1,0,0,0,3330000
1100,2,2,1,1,1,6300000
6015,5,2,0,1,1,14770000
6435,5,3,3,1,0,15310000
2160,4,4,2,1,1,9700000
2775,4,2,1,0,0,9935000
7224,4,2,0,1,1,15170000
900,2,3,1,1,0,5685000
1035,2,2,2,1,1,6400000
660,2,2,1,1,1,5600000
600,1,1,0,0,0,4130000
350,1,1,1,0,0,3560000
1375,3,2,1,1,1,7100000
1931,3,3,3,1,0,8110000
4004,4,2,0,1,1,11670000
6875,5,5,2,1,1,15500000
