Area in sq ft,BHK,Bathroom,Balcony,Parking,Furnishing,Price in rupees
650,1,1,1,1,1,4640000
2538,3,4,3,1,0,9795000
1295,2,2,2,0,0,6390000
1825,4,3,3,1,1,9115000
1050,2,2,1,0,1,6360000
1700,3,3,2,1,0,8120000
1700,3,2,1,1,0,7870000
3225,4,5,3,1,1,11465000
7015,5,6,3,1,1,16965000
600,1,1,1,1,0,4570000
435,1,1,1,1,1,3840000
2050,4,3,3,1,1,9815000
2100,4,3,3,0,0,9665000
3000,5,4,3,1,0,11295000
850,1,1,1,1,0,4570000
1020,2,2,1,0,1,6360000
754,2,2,1,0,1,5660000
1151,3,2,3,1,0,7395000
1471,3,2,2,1,0,7270000
560,1,2,1,1,0,4770000
771,1,1,2,1,1,4740000
1058,2,2,1,1,1,6440000
815,2,1,1,0,1,5460000
672,1,1,1,1,0,4570000
1602,3,3,3,1,0,8245000
7304,6,6,3,1,0,17495000
700,2,2,1,1,0,5670000
1151,4,2,0,1,0,7650000
1400,4,2,1,1,0,7970000
1420,3,2,2,0,1,7260000
1475,3,2,3,0,1,7385000
1400,3,3,2,1,0,7420000
600,1,1,1,1,0,4570000
380,1,1,0,0,0,3370000
1100,2,2,1,1,1,6440000
6015,5,2,0,1,1,14820000
6435,5,3,3,1,0,15445000
2160,4,4,2,1,1,9840000
2775,4,2,1,0,0,9990000
7224,4,2,0,1,1,15220000
900,2,3,1,1,0,5820000
1035,2,2,2,1,1,6540000
660,2,2,1,1,1,5740000
600,1,1,0,0,0,4170000
350,1,1,1,0,0,3690000
1375,3,2,1,1,1,7240000
1931,3,3,3,1,0,8245000
4004,4,2,0,1,1,11770000
6875,5,5,2,1,1,16240000
