Area in sq ft,BHK,Bathroom,Balcony,Parking,Furnishing,Price in rupees
650,1,1,1,1,1,2390000
2538,3,4,3,1,0,7595000
1295,2,2,2,0,0,4240000
1825,4,3,3,1,1,6865000
1050,2,2,1,0,1,4160000
1700,3,3,2,1,0,5920000
1700,3,2,1,1,0,5670000
3225,4,5,3,1,1,9215000
7015,5,6,3,1,1,14715000
600,1,1,1,1,0,2370000
435,1,1,1,1,1,1590000
2050,4,3,3,1,1,7565000
2100,4,3,3,0,0,7515000
3000,5,4,3,1,0,9095000
850,1,1,1,1,0,2370000
1020,2,2,1,0,1,4160000
754,2,2,1,0,1,3460000
1151,3,2,3,1,0,5195000
1471,3,2,2,1,0,5070000
560,1,2,1,1,0,2570000
771,1,1,2,1,1,2490000
1058,2,2,1,1,1,4190000
815,2,1,1,0,1,3260000
672,1,1,1,1,0,2370000
1602,3,3,3,1,0,6045000
7304,6,6,3,1,0,15295000
700,2,2,1,1,0,3470000
1151,4,2,0,1,0,5710000
1400,4,2,1,1,0,5770000
1420,3,2,2,0,1,5060000
1475,3,2,3,0,1,5185000
1400,3,3,2,1,0,5220000
600,1,1,1,1,0,2370000
380,1,1,0,0,0,1480000
1100,2,2,1,1,1,4190000
6015,5,2,0,1,1,12830000
6435,5,3,3,1,0,13245000
2160,4,4,2,1,1,7590000
2775,4,2,1,0,0,7840000
7224,4,2,0,1,1,13230000
900,2,3,1,1,0,3620000
1035,2,2,2,1,1,4290000
660,2,2,1,1,1,2280000
600,1,1,0,0,0,2280000
350,1,1,1,0,0,1540000
1375,3,2,1,1,1,4990000
1931,3,3,3,1,0,6045000
4004,4,2,0,1,1,9730000
6875,5,5,2,1,1,13990000
