Area in sq ft,BHK,Bathroom,Balcony,Parking,Furnishing,Price in rupees
650,1,1,1,1,1,3310000
2538,3,4,3,1,0,8495000
1295,2,2,2,0,0,5120000
1825,4,3,3,1,1,7785000
1050,2,2,1,0,1,5060000
1700,3,3,2,1,0,6820000
1700,3,2,1,1,0,6570000
3225,4,5,3,1,1,10135000
7015,5,6,3,1,1,15635000
600,1,1,1,1,0,3270000
435,1,1,1,1,1,2510000
2050,4,3,3,1,1,8485000
2100,4,3,3,0,0,8395000
3000,5,4,3,1,0,9995000
850,1,1,1,1,0,3270000
1020,2,2,1,0,1,5060000
754,2,2,1,0,1,4360000
1151,3,2,3,1,0,6095000
1471,3,2,2,1,0,5970000
560,1,2,1,1,0,3470000
771,1,1,2,1,1,3410000
1058,2,2,1,1,1,5110000
815,2,1,1,0,1,4160000
672,1,1,1,1,0,3270000
1602,3,3,3,1,0,6945000
7304,6,6,3,1,0,16195000
700,2,2,1,1,0,4370000
1151,4,2,0,1,0,6520000
1400,4,2,1,1,0,6670000
1420,3,2,2,0,1,5960000
1475,3,2,3,0,1,6085000
1400,3,3,2,1,0,6120000
600,1,1,1,1,0,3270000
380,1,1,0,0,0,2270000
1100,2,2,1,1,1,5110000
6015,5,2,0,1,1,13660000
6435,5,3,3,1,0,14145000
2160,4,4,2,1,1,8510000
2775,4,2,1,0,0,8720000
7224,4,2,0,1,1,14060000
900,2,3,1,1,0,4520000
1035,2,2,2,1,1,5210000
660,2,2,1,1,1,4410000
600,1,1,0,0,0,3070000
350,1,1,1,0,0,1420000
1375,3,2,1,1,1,5910000
1931,3,3,3,1,0,6945000
4004,4,2,0,1,1,10560000
6875,5,5,2,1,1,14910000
