Area in sq ft,BHK,Bathroom,Balcony,Parking,Furnishing,Price in rupees
650,1,1,1,1,1,3470000
2538,3,4,3,1,0,8640000
1295,2,2,2,0,0,5250000
1825,4,3,3,1,1,7945000
1050,2,2,1,0,1,5205000
1700,3,3,2,1,0,6965000
1700,3,2,1,1,0,6715000
3225,4,5,3,1,1,10295000
7015,5,6,3,1,1,15795000
600,1,1,1,1,0,3415000
435,1,1,1,1,1,2670000
2050,4,3,3,1,1,8252000
2100,4,3,3,0,0,8525000
3000,5,4,3,1,0,10140000
850,1,1,1,1,0,3415000
1020,2,2,1,0,1,5205000
754,2,2,1,0,1,4505000
1151,3,2,3,1,0,6115000
1471,3,2,2,1,0,6115000
560,1,2,1,1,0,3615000
771,1,1,2,1,1,3570000
1058,2,2,1,1,1,5270000
815,2,1,1,0,1,4305000
672,1,1,1,1,0,3415000
1602,3,3,3,1,0,7090000
7304,6,6,3,1,0,16340000
700,2,2,1,1,0,4515000
1151,4,2,0,1,0,6625000
1400,4,2,1,1,0,6815000
1420,3,2,2,0,1,6105000
1475,3,2,3,0,1,6230000
1400,3,3,2,1,0,6265000
600,1,1,1,1,0,3415000
380,1,1,0,0,0,2360000
1100,2,2,1,1,1,5270000
6015,5,2,0,1,1,13780000
6435,5,3,3,1,0,14290000
2160,4,4,2,1,1,8670000
2775,4,2,1,0,0,8850000
7224,4,2,0,1,1,14180000
900,2,3,1,1,0,4665000
1035,2,2,2,1,1,5370000
660,2,2,1,1,1,4750000
600,1,1,0,0,0,3160000
350,1,1,1,0,0,2550000
1375,3,2,1,1,1,6070000
1931,3,3,3,1,0,7090000
4004,4,2,0,1,1,10680000
6875,5,5,2,1,1,15070000
