Area in sq ft,BHK,Bathroom,Balcony,Parking,Furnishing,Price in rupees
650,1,1,1,1,1,2480000
2538,3,4,3,1,0,7690000
1295,2,2,2,0,0,4340000
1825,4,3,3,1,1,6955000
1050,2,2,1,0,1,4255000
1700,3,3,2,1,0,6015000
1700,3,2,1,1,0,5765000
3225,4,5,3,1,1,9305000
7015,5,6,3,1,1,14805000
600,1,1,1,1,0,2465000
435,1,1,1,1,1,1680000
2050,4,3,3,1,1,7655000
2100,4,3,3,0,0,7615000
3000,5,4,3,1,0,9190000
850,1,1,1,1,0,2465000
1020,2,2,1,0,1,4255000
754,2,2,1,0,1,3555000
1151,3,2,3,1,0,5290000
1471,3,2,2,1,0,5165000
560,1,2,1,1,0,2665000
771,1,1,2,1,1,2580000
1058,2,2,1,1,1,4280000
815,2,1,1,0,1,3355000
672,1,1,1,1,0,2465000
1602,3,3,3,1,0,6140000
7304,6,6,3,1,0,15390000
700,2,2,1,1,0,3565000
1151,4,2,0,1,0,5790000
1400,4,2,1,1,0,5865000
1420,3,2,2,0,1,5180000
1475,3,2,3,0,1,5280000
1400,3,3,2,1,0,5315000
600,1,1,1,1,0,2465000
380,1,1,0,0,0,1565000
1100,2,2,1,1,1,4280000
6015,5,2,0,1,1,12905000
6435,5,3,3,1,0,13340000
2160,4,4,2,1,1,7680000
2775,4,2,1,0,0,7940000
7224,4,2,0,1,1,13305000
900,2,3,1,1,0,3715000
1035,2,2,2,1,1,4380000
660,2,2,1,1,1,3580000
600,1,1,0,0,0,2365000
350,1,1,1,0,0,1640000
1375,3,2,1,1,1,5080000
1931,3,3,3,1,0,6140000
4004,4,2,0,1,1,9805000
6875,5,5,2,1,1,14080000
