Area in sq ft,BHK,Bathroom,Balcony,Parking,Furnishing,Price in rupees
650,1,1,1,1,1,4040000
2538,3,4,3,1,0,9200000
1295,2,2,2,0,0,5800000
1825,4,3,3,1,1,8515000
1050,2,2,1,0,1,5765000
1700,3,3,2,1,0,7525000
1700,3,2,1,1,0,7275000
3225,4,5,3,1,1,10865000
7015,5,6,3,1,1,16365000
600,1,1,1,1,0,3975000
435,1,1,1,1,1,3240000
2050,4,3,3,1,1,9215000
2100,4,3,3,0,0,9075000
3000,5,4,3,1,0,10700000
850,1,1,1,1,0,3975000
1020,2,2,1,0,1,5765000
754,2,2,1,0,1,5065000
1151,3,2,3,1,0,6800000
1471,3,2,2,1,0,6675000
560,1,2,1,1,0,4175000
771,1,1,2,1,1,4140000
1058,2,2,1,1,1,5840000
815,2,1,1,0,1,4865000
672,1,1,1,1,0,3975000
1602,3,3,3,1,0,7650000
7304,6,6,3,1,0,16900000
700,2,2,1,1,0,5075000
1151,4,2,0,1,0,7100000
1400,4,2,1,1,0,7375000
1420,3,2,2,0,1,6665000
1475,3,2,3,0,1,6790000
1400,3,3,2,1,0,6825000
600,1,1,1,1,0,3975000
380,1,1,0,0,0,2825000
1100,2,2,1,1,1,5840000
6015,5,2,0,1,1,14265000
6435,5,3,3,1,0,14850000
2160,4,4,2,1,1,9240000
2775,4,2,1,0,0,9400000
7224,4,2,0,1,1,14665000
900,2,3,1,1,0,5225000
1035,2,2,2,1,1,5940000
660,2,2,1,1,1,5140000
600,1,1,0,0,0,3625000
350,1,1,1,0,0,3100000
1375,3,2,1,1,1,6640000
1931,3,3,3,1,0,7650000
4004,4,2,0,1,1,11165000
6875,5,5,2,1,1,15640000
