Area in sq ft,BHK,Bathroom,Balcony,Parking,Furnishing,Price in rupees
650,1,1,1,1,1,4000000
2538,3,4,3,1,0,9170000
1295,2,2,2,0,0,5780000
1825,4,3,3,1,1,8475000
1050,2,2,1,0,1,5735000
1700,3,3,2,1,0,7495000
1700,3,2,1,1,0,7425000
3225,4,5,3,1,1,10825000
7015,5,6,3,1,1,16325000
600,1,1,1,1,0,3945000
435,1,1,1,1,1,3200000
2050,4,3,3,1,1,9175000
2100,4,3,3,0,0,9055000
3000,5,4,3,1,0,10725000
850,1,1,1,1,0,3945000
1020,2,2,1,0,1,5735000
754,2,2,1,0,1,5035000
1151,3,2,3,1,0,6770000
1471,3,2,2,1,0,6645000
560,1,2,1,1,0,4145000
771,1,1,2,1,1,4100000
1058,2,2,1,1,1,6800000
815,2,1,1,0,1,4835000
672,1,1,1,1,0,3945000
1602,3,3,3,1,0,7620000
7304,6,6,3,1,0,16870000
700,2,2,1,1,0,5045000
1151,4,2,0,1,0,7130000
1400,4,2,1,1,0,7345000
1420,3,2,2,0,1,6635000
1475,3,2,3,0,1,6760000
1400,3,3,2,1,0,6795000
600,1,1,1,1,0,3945000
380,1,1,0,0,0,2865000
1100,2,2,1,1,1,5800000
6015,5,2,0,1,1,14285000
6435,5,3,3,1,0,14820000
2160,4,4,2,1,1,9200000
2775,4,2,1,0,0,9380000
7224,4,2,0,1,1,14685000
900,2,3,1,1,0,5195000
1035,2,2,2,1,1,5900000
660,2,2,1,1,1,5100000
600,1,1,0,0,0,3665000
350,1,1,1,0,0,3080000
1375,3,2,1,1,1,6600000
1931,3,3,3,1,0,7620000
4004,4,2,0,1,1,11185000
6875,5,5,2,1,1,15600000
