Area in sq ft,BHK,Bathroom,Balcony,Parking,Furnishing,Price in rupees
650,1,1,1,1,1,3260000
2538,3,4,3,1,0,8445000
1295,2,2,2,0,0,5070000
1825,4,3,3,1,1,7735000
1050,2,2,1,0,1,5010000
1700,3,3,2,1,0,6770000
1700,3,2,1,1,0,6520000
3225,4,5,3,1,1,10085000
7015,5,6,3,1,1,15585000
600,1,1,1,1,0,3220000
435,1,1,1,1,1,2460000
2050,4,3,3,1,1,8435000
2100,4,3,3,0,0,8345000
3000,5,4,3,1,0,9945000
850,1,1,1,1,0,3220000
1020,2,2,1,0,1,5010000
754,2,2,1,0,1,4310000
1151,3,2,3,1,0,6045000
1471,3,2,2,1,0,5920000
560,1,2,1,1,0,3420000
771,1,1,2,1,1,3360000
1058,2,2,1,1,1,5060000
815,2,1,1,0,1,4110000
672,1,1,1,1,0,3220000
1602,3,3,3,1,0,6895000
7304,6,6,3,1,0,16145000
700,2,2,1,1,0,4320000
1151,4,2,0,1,0,6465000
1400,4,2,1,1,0,6620000
1420,3,2,2,0,1,5910000
1475,3,2,3,0,1,6035000
1400,3,3,2,1,0,6070000
600,1,1,1,1,0,3220000
380,1,1,0,0,0,2215000
1100,2,2,1,1,1,5060000
6015,5,2,0,1,1,13605000
6435,5,3,3,1,0,14095000
2160,4,4,2,1,1,8460000
2775,4,2,1,0,0,8670000
7224,4,2,0,1,1,14005000
900,2,3,1,1,0,4470000
1035,2,2,2,1,1,5160000
660,2,2,1,1,1,4360000
600,1,1,0,0,0,3015000
350,1,1,1,0,0,2370000
1375,3,2,1,1,1,5860000
1931,3,3,3,1,0,6895000
4004,4,2,0,1,1,10505000
6875,5,5,2,1,1,14860000
