Area in sq ft,BHK,Bathroom,Balcony,Parking,Furnishing,Price in rupees
650,1,1,1,1,1,3800000
2538,3,4,3,1,0,8970000
1295,2,2,2,0,0,5580000
1825,4,3,3,1,1,8275000
1050,2,2,1,0,1,5535000
1700,3,3,2,1,0,7295000
1700,3,2,1,1,0,7045000
3225,4,5,3,1,1,10625000
7015,5,6,3,1,1,16125000
600,1,1,1,1,0,3745000
435,1,1,1,1,1,3000000
2050,4,3,3,1,1,8975000
2100,4,3,3,0,0,8855000
3000,5,4,3,1,0,10470000
850,1,1,1,1,0,3745000
1020,2,2,1,0,1,5535000
754,2,2,1,0,1,4835000
1151,3,2,3,1,0,6570000
1471,3,2,2,1,0,6445000
560,1,2,1,1,0,3945000
771,1,1,2,1,1,3900000
1058,2,2,1,1,1,5600000
815,2,1,1,0,1,4635000
672,1,1,1,1,0,3745000
1602,3,3,3,1,0,7420000
7304,6,6,3,1,0,16670000
700,2,2,1,1,0,4845000
1151,4,2,0,1,0,6930000
1400,4,2,1,1,0,7145000
1420,3,2,2,0,1,6435000
1475,3,2,3,0,1,6560000
1400,3,3,2,1,0,6595000
600,1,1,1,1,0,3745000
380,1,1,0,0,0,2665000
1100,2,2,1,1,1,5600000
6015,5,2,0,1,1,14085000
6435,5,3,3,1,0,14620000
2160,4,4,2,1,1,9000000
2775,4,2,1,0,0,9180000
7224,4,2,0,1,1,14485000
900,2,3,1,1,0,4995000
1035,2,2,2,1,1,5700000
660,2,2,1,1,1,4900000
600,1,1,0,0,0,3465000
350,1,1,1,0,0,2880000
1375,3,2,1,1,1,6400000
1931,3,3,3,1,0,7420000
4004,4,2,0,1,1,10985000
6875,5,5,2,1,1,15400000
