Area in sq ft,BHK,Bathroom,Balcony,Parking,Furnishing,Price in rupees
650,1,1,1,1,1,3240000
2538,3,4,3,1,0,8425000
1295,2,2,2,0,0,5050000
1825,4,3,3,1,1,7715000
1050,2,2,1,0,1,4990000
1700,3,3,2,1,0,6750000
1700,3,2,1,1,0,6500000
3225,4,5,3,1,1,10065000
7015,5,6,3,1,1,15565000
600,1,1,1,1,0,3200000
435,1,1,1,1,1,2440000
2050,4,3,3,1,1,8415000
2100,4,3,3,0,0,8325000
3000,5,4,3,1,0,10625000
850,1,1,1,1,0,3200000
1020,2,2,1,0,1,4990000
754,2,2,1,0,1,4290000
1151,3,2,3,1,0,6025000
1471,3,2,2,1,0,5900000
560,1,2,1,1,0,3400000
771,1,1,2,1,1,3340000
1058,2,2,1,1,1,5040000
815,2,1,1,0,1,4090000
672,1,1,1,1,0,3200000
1602,3,3,3,1,0,6875000
7304,6,6,3,1,0,16125000
700,2,2,1,1,0,4300000
1151,4,2,0,1,0,6450000
1400,4,2,1,1,0,6600000
1420,3,2,2,0,1,5890000
1475,3,2,3,0,1,6015000
1400,3,3,2,1,0,6050000
600,1,1,1,1,0,3200000
380,1,1,0,0,0,2200000
1100,2,2,1,1,1,5040000
6015,5,2,0,1,1,13590000
6435,5,3,3,1,0,14075000
2160,4,4,2,1,1,8440000
2775,4,2,1,0,0,8650000
7224,4,2,0,1,1,13990000
900,2,3,1,1,0,4450000
1035,2,2,2,1,1,5140000
660,2,2,1,1,1,4340000
600,1,1,0,0,0,3000000
350,1,1,1,0,0,2350000
1375,3,2,1,1,1,5500000
1931,3,3,3,1,0,5840000
4004,4,2,0,1,1,10490000
6875,5,5,2,1,1,14840000
