Area in sq ft,BHK,Bathroom,Balcony,Parking,Furnishing,Price in rupees
650,1,1,1,1,1,3900000
2538,3,4,3,1,0,9075000
1295,2,2,2,0,0,5690000
1825,4,3,3,1,1,8375000
1050,2,2,1,0,1,5640000
1700,3,3,2,1,0,7400000
1700,3,2,1,1,0,7150000
3225,4,5,3,1,1,10725000
7015,5,6,3,1,1,16225000
600,1,1,1,1,0,3850000
435,1,1,1,1,1,3100000
2050,4,3,3,1,1,9075000
2100,4,3,3,0,0,8965000
3000,5,4,3,1,0,10575000
850,1,1,1,1,0,3850000
1020,2,2,1,0,1,5640000
754,2,2,1,0,1,4940000
1151,3,2,3,1,0,6675000
1471,3,2,2,1,0,6550000
560,1,2,1,1,0,4050000
771,1,1,2,1,1,4000000
1058,2,2,1,1,1,5700000
815,2,1,1,0,1,4740000
672,1,1,1,1,0,3850000
1602,3,3,3,1,0,6825000
7304,6,6,3,1,0,16775000
700,2,2,1,1,0,4950000
1151,4,2,0,1,0,7060000
1400,4,2,1,1,0,7250000
1420,3,2,2,0,1,6540000
1475,3,2,3,0,1,6665000
1400,3,3,2,1,0,6700000
600,1,1,1,1,0,3850000
380,1,1,0,0,0,2800000
1100,2,2,1,1,1,5700000
6015,5,2,0,1,1,14210000
6435,5,3,3,1,0,14725000
2160,4,4,2,1,1,9100000
2775,4,2,1,0,0,9290000
7224,4,2,0,1,1,14610000
900,2,3,1,1,0,5100000
1035,2,2,2,1,1,5800000
660,2,2,1,1,1,5000000
600,1,1,0,0,0,3600000
350,1,1,1,0,0,2990000
1375,3,2,1,1,1,6500000
1931,3,3,3,1,0,7525000
4004,4,2,0,1,1,11110000
6875,5,5,2,1,1,15500000
