Area in sq ft,BHK,Bathroom,Balcony,Parking,Furnishing,Price in rupees
650,1,1,1,1,1,3280000
2538,3,4,3,1,0,8465000
1295,2,2,2,0,0,5090000
1825,4,3,3,1,1,7755000
1050,2,2,1,0,1,5030000
1700,3,3,2,1,0,6790000
1700,3,2,1,1,0,6540000
3225,4,5,3,1,1,10105000
7015,5,6,3,1,1,15605000
600,1,1,1,1,0,3240000
435,1,1,1,1,1,2480000
2050,4,3,3,1,1,8455000
2100,4,3,3,0,0,8365000
3000,5,4,3,1,0,9965000
850,1,1,1,1,0,3240000
1020,2,2,1,0,1,5030000
754,2,2,1,0,1,4330000
1151,3,2,3,1,0,6065000
1471,3,2,2,1,0,5940000
560,1,2,1,1,0,3440000
771,1,1,2,1,1,3380000
1058,2,2,1,1,1,5080000
815,2,1,1,0,1,4130000
672,1,1,1,1,0,3240000
1602,3,3,3,1,0,6915000
7304,6,6,3,1,0,16165000
700,2,2,1,1,0,4340000
1151,4,2,0,1,0,6490000
1400,4,2,1,1,0,6640000
1420,3,2,2,0,1,5930000
1475,3,2,3,0,1,6055000
1400,3,3,2,1,0,6090000
600,1,1,1,1,0,3240000
380,1,1,0,0,0,2240000
1100,2,2,1,1,1,5080000
6015,5,2,0,1,1,13630000
6435,5,3,3,1,0,14115000
2160,4,4,2,1,1,8480000
2775,4,2,1,0,0,8690000
7224,4,2,0,1,1,14030000
900,2,3,1,1,0,4490000
1035,2,2,2,1,1,5180000
660,2,2,1,1,1,4380000
600,1,1,0,0,0,3040000
350,1,1,1,0,0,2390000
1375,3,2,1,1,1,5880000
1931,3,3,3,1,0,6915000
4004,4,2,0,1,1,10530000
6875,5,5,2,1,1,14880000
