Area in sq ft,BHK,Bathroom,Balcony,Parking,Furnishing,Price in rupees
650,1,1,1,1,1,2600000
2538,3,4,3,1,0,7805000
1295,2,2,2,0,0,4450000
1825,4,3,3,1,1,7075000
1050,2,2,1,0,1,4370000
1700,3,3,2,1,0,6130000
1700,3,2,1,1,0,5880000
3225,4,5,3,1,1,9425000
7015,5,6,3,1,1,14925000
600,1,1,1,1,0,2580000
435,1,1,1,1,1,1800000
2050,4,3,3,1,1,7775000
2100,4,3,3,0,0,7725000
3000,5,4,3,1,0,9305000
850,1,1,1,1,0,2580000
1020,2,2,1,0,1,4370000
754,2,2,1,0,1,3670000
1151,3,2,3,1,0,5405000
1471,3,2,2,1,0,5280000
560,1,2,1,1,0,2780000
771,1,1,2,1,1,2700000
1058,2,2,1,1,1,4400000
815,2,1,1,0,1,3470000
672,1,1,1,1,0,2580000
1602,3,3,3,1,0,6255000
7304,6,6,3,1,0,15505000
700,2,2,1,1,0,3680000
1151,4,2,0,1,0,5930000
1400,4,2,1,1,0,5980000
1420,3,2,2,0,1,5270000
1475,3,2,3,0,1,5395000
1400,3,3,2,1,0,5430000
600,1,1,1,1,0,2580000
380,1,1,0,0,0,1750000
1100,2,2,1,1,1,4400000
6015,5,2,0,1,1,13050000
6435,5,3,3,1,0,13455000
2160,4,4,2,1,1,7800000
2775,4,2,1,0,0,8050000
7224,4,2,0,1,1,13450000
900,2,3,1,1,0,3830000
1035,2,2,2,1,1,4500000
660,2,2,1,1,1,3700000
600,1,1,0,0,0,2500000
350,1,1,1,0,0,1750000
1375,3,2,1,1,1,5200000
1931,3,3,3,1,0,6255000
4004,4,2,0,1,1,9950000
6875,5,5,2,1,1,14200000
