Area in sq ft,BHK,Bathroom,Balcony,Parking,Furnishing,Price in rupees
650,1,1,1,1,1,2170000
2538,3,4,3,1,0,7380000
1295,2,2,2,0,0,4030000
1825,4,3,3,1,1,6645000
1050,2,2,1,0,1,3945000
1700,3,3,2,1,0,5705000
1700,3,2,1,1,0,5455000
3225,4,5,3,1,1,8995000
7015,5,6,3,1,1,14495000
600,1,1,1,1,0,2155000
435,1,1,1,1,1,1370000
2050,4,3,3,1,1,7345000
2100,4,3,3,0,0,7305000
3000,5,4,3,1,0,8880000
850,1,1,1,1,0,2155000
1020,2,2,1,0,1,3945000
754,2,2,1,0,1,3245000
1151,3,2,3,1,0,4980000
1471,3,2,2,1,0,4855000
560,1,2,1,1,0,2355000
771,1,1,2,1,1,2270000
1058,2,2,1,1,1,3970000
815,2,1,1,0,1,3045000
672,1,1,1,1,0,2155000
1602,3,3,3,1,0,5830000
7304,6,6,3,1,0,15080000
700,2,2,1,1,0,3255000
1151,4,2,0,1,0,5505000
1400,4,2,1,1,0,5555000
1420,3,2,2,0,1,4845000
1475,3,2,3,0,1,4970000
1400,3,3,2,1,0,5005000
600,1,1,1,1,0,2155000
380,1,1,0,0,0,1280000
1100,2,2,1,1,1,3970000
6015,5,2,0,1,1,12620000
6435,5,3,3,1,0,13030000
2160,4,4,2,1,1,7370000
2775,4,2,1,0,0,7630000
7224,4,2,0,1,1,13020000
900,2,3,1,1,0,3405000
1035,2,2,2,1,1,4070000
660,2,2,1,1,1,3270000
600,1,1,0,0,0,2080000
350,1,1,1,0,0,1330000
1375,3,2,1,1,1,4770000
1931,3,3,3,1,0,5830000
4004,4,2,0,1,1,9520000
6875,5,5,2,1,1,13770000
