Area in sq ft,BHK,Bathroom,Balcony,Parking,Furnishing,Price in rupees
650,1,1,1,1,1,6240000
2538,3,4,3,1,0,11395000
1295,2,2,2,0,0,7990000
1825,4,3,3,1,1,10715000
1050,2,2,1,0,1,7960000
1700,3,3,2,1,0,9720000
1700,3,2,1,1,0,9470000
3225,4,5,3,1,1,13065000
7015,5,6,3,1,1,18565000
600,1,1,1,1,0,6170000
435,1,1,1,1,1,5440000
2050,4,3,3,1,1,11415000
2100,4,3,3,0,0,11265000
3000,5,4,3,1,0,12895000
850,1,1,1,1,0,6170000
1020,2,2,1,0,1,7960000
754,2,2,1,0,1,7260000
1151,3,2,3,1,0,8995000
1471,3,2,2,1,0,8870000
560,1,2,1,1,0,6370000
771,1,1,2,1,1,6340000
1058,2,2,1,1,1,8040000
815,2,1,1,0,1,7060000
672,1,1,1,1,0,6170000
1602,3,3,3,1,0,9845000
7304,6,6,3,1,0,19095000
700,2,2,1,1,0,7270000
1151,4,2,0,1,0,9240000
1400,4,2,1,1,0,9570000
1420,3,2,2,0,1,8860000
1475,3,2,3,0,1,8985000
1400,3,3,2,1,0,9020000
600,1,1,1,1,0,6170000
380,1,1,0,0,0,4960000
1100,2,2,1,1,1,8040000
6015,5,2,0,1,1,16410000
6435,5,3,3,1,0,17045000
2160,4,4,2,1,1,11440000
2775,4,2,1,0,0,11590000
7224,4,2,0,1,1,16810000
900,2,3,1,1,0,7420000
1035,2,2,2,1,1,8140000
660,2,2,1,1,1,7340000
600,1,1,0,0,0,5760000
350,1,1,1,0,0,5290000
1375,3,2,1,1,1,8840000
1931,3,3,3,1,0,9845000
4004,4,2,0,1,1,13310000
6875,5,5,2,1,1,17840000
