Area in sq ft,BHK,Bathroom,Balcony,Parking,Furnishing,Price in rupees
650,1,1,1,1,1,2460000
2538,3,4,3,1,0,7665000
1295,2,2,2,0,0,4310000
1825,4,3,3,1,1,6935000
1050,2,2,1,0,1,4230000
1700,3,3,2,1,0,5990000
1700,3,2,1,1,0,5740000
3225,4,5,3,1,1,9285000
7015,5,6,3,1,1,14785000
600,1,1,1,1,0,2440000
435,1,1,1,1,1,1660000
2050,4,3,3,1,1,7635000
2100,4,3,3,0,0,7585000
3000,5,4,3,1,0,9165000
850,1,1,1,1,0,2440000
1020,2,2,1,0,1,4230000
754,2,2,1,0,1,3530000
1151,3,2,3,1,0,5265000
1471,3,2,2,1,0,5140000
560,1,2,1,1,0,2640000
771,1,1,2,1,1,2560000
1058,2,2,1,1,1,4260000
815,2,1,1,0,1,3330000
672,1,1,1,1,0,2440000
1602,3,3,3,1,0,6115000
7304,6,6,3,1,0,15365000
700,2,2,1,1,0,3540000
1151,4,2,0,1,0,5770000
1400,4,2,1,1,0,5840000
1420,3,2,2,0,1,5130000
1475,3,2,3,0,1,5255000
1400,3,3,2,1,0,5290000
600,1,1,1,1,0,2440000
380,1,1,0,0,0,1540000
1100,2,2,1,1,1,4260000
6015,5,2,0,1,1,12890000
6435,5,3,3,1,0,13315000
2160,4,4,2,1,1,7660000
2775,4,2,1,0,0,7910000
7224,4,2,0,1,1,13290000
900,2,3,1,1,0,3690000
1035,2,2,2,1,1,4360000
660,2,2,1,1,1,3560000
600,1,1,0,0,0,2340000
350,1,1,1,0,0,1610000
1375,3,2,1,1,1,5060000
1931,3,3,3,1,0,6115000
4004,4,2,0,1,1,9790000
6875,5,5,2,1,1,14060000
