Area in sq ft,BHK,Bathroom,Balcony,Parking,Furnishing,Price in rupees
650,1,1,1,1,1,7740000
2538,3,4,3,1,0,12880000
1295,2,2,2,0,0,9460000
1825,4,3,3,1,1,12215000
1050,2,2,1,0,1,9445000
1700,3,3,2,1,0,11205000
1700,3,2,1,1,0,10955000
3225,4,5,3,1,1,14565000
7015,5,6,3,1,1,20065000
600,1,1,1,1,0,7655000
435,1,1,1,1,1,6940000
2050,4,3,3,1,1,12915000
2100,4,3,3,0,0,12735000
3000,5,4,3,1,0,14380000
850,1,1,1,1,0,7655000
1020,2,2,1,0,1,9445000
754,2,2,1,0,1,8745000
1151,3,2,3,1,0,10480000
1471,3,2,2,1,0,10355000
560,1,2,1,1,0,7855000
771,1,1,2,1,1,7840000
1058,2,2,1,1,1,9540000
815,2,1,1,0,1,8545000
672,1,1,1,1,0,7655000
1602,3,3,3,1,0,11330000
7304,6,6,3,1,0,20580000
700,2,2,1,1,0,8755000
1151,4,2,0,1,0,10700000
1400,4,2,1,1,0,11055000
1420,3,2,2,0,1,10345000
1475,3,2,3,0,1,10470000
1400,3,3,2,1,0,10505000
600,1,1,1,1,0,7655000
380,1,1,0,0,0,6405000
1100,2,2,1,1,1,9540000
6015,5,2,0,1,1,17885000
6435,5,3,3,1,0,18530000
2160,4,4,2,1,1,12940000
2775,4,2,1,0,0,13060000
7224,4,2,0,1,1,18285000
900,2,3,1,1,0,8905000
1035,2,2,2,1,1,9640000
660,2,2,1,1,1,8840000
600,1,1,0,0,0,7205000
350,1,1,1,0,0,6760000
1375,3,2,1,1,1,10340000
1931,3,3,3,1,0,11330000
4004,4,2,0,1,1,14785000
6875,5,5,2,1,1,19340000
