Area in sq ft,BHK,Bathroom,Balcony,Parking,Furnishing,Price in rupees
650,1,1,1,1,1,4600000
2538,3,4,3,1,0,9760000
1295,2,2,2,0,0,6435000
1825,4,3,3,1,1,9150000
1050,2,2,1,0,1,6400000
1700,3,3,2,1,0,8085000
1700,3,2,1,1,0,7835000
3225,4,5,3,1,1,11500000
7015,5,6,3,1,1,16925000
600,1,1,1,1,0,4535000
435,1,1,1,1,1,3800000
2050,4,3,3,1,1,9850000
2100,4,3,3,0,0,9710000
3000,5,4,3,1,0,11260000
850,1,1,1,1,0,4535000
1020,2,2,1,0,1,6400000
754,2,2,1,0,1,5625000
1151,3,2,3,1,0,7435000
1471,3,2,2,1,0,7310000
560,1,2,1,1,0,4735000
771,1,1,2,1,1,4700000
1058,2,2,1,1,1,6475000
815,2,1,1,0,1,5425000
672,1,1,1,1,0,4535000
1602,3,3,3,1,0,8210000
7304,6,6,3,1,0,17460000
700,2,2,1,1,0,5635000
1151,4,2,0,1,0,7830000
1400,4,2,1,1,0,8085000
1420,3,2,2,0,1,7300000
1475,3,2,3,0,1,7425000
1400,3,3,2,1,0,7460000
600,1,1,1,1,0,4535000
380,1,1,0,0,0,3405000
1100,2,2,1,1,1,6475000
6015,5,2,0,1,1,14845000
6435,5,3,3,1,0,15410000
2160,4,4,2,1,1,9875000
2775,4,2,1,0,0,10035000
7224,4,2,0,1,1,15320000
900,2,3,1,1,0,5785000
1035,2,2,2,1,1,6575000
660,2,2,1,1,1,5700000
600,1,1,0,0,0,4205000
350,1,1,1,0,0,3660000
1375,3,2,1,1,1,7275000
1931,3,3,3,1,0,8210000
4004,4,2,0,1,1,11870000
6875,5,5,2,1,1,16200000
