Area in sq ft,BHK,Bathroom,Balcony,Parking,Furnishing,Price in rupees
650,1,1,1,1,1,1800000
2538,3,4,3,1,0,7010000
1295,2,2,2,0,0,3660000
1825,4,3,3,1,1,6275000
1050,2,2,1,0,1,3575000
1700,3,3,2,1,0,5335000
1700,3,2,1,1,0,5085000
3225,4,5,3,1,1,8625000
7015,5,6,3,1,1,14125000
600,1,1,1,1,0,1785000
435,1,1,1,1,1,1000000
2050,4,3,3,1,1,6975000
2100,4,3,3,0,0,6935000
3000,5,4,3,1,0,8510000
850,1,1,1,1,0,1785000
1020,2,2,1,0,1,3575000
754,2,2,1,0,1,2875000
1151,3,2,3,1,0,4610000
1471,3,2,2,1,0,4485000
560,1,2,1,1,0,1985000
771,1,1,2,1,1,1900000
1058,2,2,1,1,1,3600000
815,2,1,1,0,1,2675000
672,1,1,1,1,0,1785000
1602,3,3,3,1,0,5460000
7304,6,6,3,1,0,14710000
700,2,2,1,1,0,2885000
1151,4,2,0,1,0,5145000
1400,4,2,1,1,0,5185000
1420,3,2,2,0,1,4475000
1475,3,2,3,0,1,4600000
1400,3,3,2,1,0,4635000
600,1,1,1,1,0,1785000
380,1,1,0,0,0,920000
1100,2,2,1,1,1,3600000
6015,5,2,0,1,1,12260000
6435,5,3,3,1,0,12660000
2160,4,4,2,1,1,7000000
2775,4,2,1,0,0,7260000
7224,4,2,0,1,1,12660000
900,2,3,1,1,0,3035000
1035,2,2,2,1,1,3700000
660,2,2,1,1,1,2900000
600,1,1,0,0,0,1720000
350,1,1,1,0,0,960000
1375,3,2,1,1,1,4400000
1931,3,3,3,1,0,5460000
4004,4,2,0,1,1,9160000
6875,5,5,2,1,1,13400000
