Area in sq ft,BHK,Bathroom,Balcony,Parking,Furnishing,Price in rupees
650,1,1,1,1,1,4240000
2538,3,4,3,1,0,9405000
1295,2,2,2,0,0,6010000
1825,4,3,3,1,1,8715000
1050,2,2,1,0,1,5970000
1700,3,3,2,1,0,7730000
1700,3,2,1,1,0,7480000
3225,4,5,3,1,1,11065000
7015,5,6,3,1,1,16565000
600,1,1,1,1,0,4180000
435,1,1,1,1,1,3440000
2050,4,3,3,1,1,9415000
2100,4,3,3,0,0,9285000
3000,5,4,3,1,0,10905000
850,1,1,1,1,0,4180000
1020,2,2,1,0,1,5970000
754,2,2,1,0,1,5270000
1151,3,2,3,1,0,7005000
1471,3,2,2,1,0,6880000
560,1,2,1,1,0,4380000
771,1,1,2,1,1,4340000
1058,2,2,1,1,1,6040000
815,2,1,1,0,1,5070000
672,1,1,1,1,0,4180000
1602,3,3,3,1,0,7855000
7304,6,6,3,1,0,17105000
700,2,2,1,1,0,5280000
1151,4,2,0,1,0,7350000
1400,4,2,1,1,0,7580000
1420,3,2,2,0,1,6870000
1475,3,2,3,0,1,6995000
1400,3,3,2,1,0,7030000
600,1,1,1,1,0,4180000
380,1,1,0,0,0,3080000
1100,2,2,1,1,1,6040000
6015,5,2,0,1,1,14510000
6435,5,3,3,1,0,15055000
2160,4,4,2,1,1,9440000
2775,4,2,1,0,0,9610000
7224,4,2,0,1,1,14910000
900,2,3,1,1,0,5430000
1035,2,2,2,1,1,6140000
660,2,2,1,1,1,5340000
600,1,1,0,0,0,3880000
350,1,1,1,0,0,3310000
1375,3,2,1,1,1,6840000
1931,3,3,3,1,0,7855000
4004,4,2,0,1,1,11410000
6875,5,5,2,1,1,15840000
