Area in sq ft,BHK,Bathroom,Balcony,Parking,Furnishing,Price in rupees
650,1,1,1,1,1,3530000
2538,3,4,3,1,0,8705000
1295,2,2,2,0,0,5320000
1825,4,3,3,1,1,7465000
1050,2,2,1,0,1,5270000
1700,3,3,2,1,0,6490000
1700,3,2,1,1,0,6780000
3225,4,5,3,1,1,10355000
7015,5,6,3,1,1,15855000
600,1,1,1,1,0,3480000
435,1,1,1,1,1,2730000
2050,4,3,3,1,1,8165000
2100,4,3,3,0,0,8055000
3000,5,4,3,1,0,10205000
850,1,1,1,1,0,3480000
1020,2,2,1,0,1,5270000
754,2,2,1,0,1,4570000
1151,3,2,3,1,0,6305000
1471,3,2,2,1,0,6180000
560,1,2,1,1,0,3680000
771,1,1,2,1,1,3630000
1058,2,2,1,1,1,5330000
815,2,1,1,0,1,4370000
672,1,1,1,1,0,3480000
1602,3,3,3,1,0,6615000
7304,6,6,3,1,0,16405000
700,2,2,1,1,0,4580000
1151,4,2,0,1,0,6710000
1400,4,2,1,1,0,6880000
1420,3,2,2,0,1,6170000
1475,3,2,3,0,1,6295000
1400,3,3,2,1,0,5790000
600,1,1,1,1,0,3480000
380,1,1,0,0,0,2450000
1100,2,2,1,1,1,5330000
6015,5,2,0,1,1,13860000
6435,5,3,3,1,0,13815000
2160,4,4,2,1,1,8730000
2775,4,2,1,0,0,8920000
7224,4,2,0,1,1,14260000
900,2,3,1,1,0,4190000
1035,2,2,2,1,1,5430000
660,2,2,1,1,1,4630000
600,1,1,0,0,0,3250000
350,1,1,1,0,0,2620000
1375,3,2,1,1,1,6130000
1931,3,3,3,1,0,6615000
4004,4,2,0,1,1,10760000
6875,5,5,2,1,1,15130000
