Area in sq ft,BHK,Bathroom,Balcony,Parking,Furnishing,Price in rupees
650,1,1,1,1,1,2500000
2538,3,4,3,1,0,7705000
1295,2,2,2,0,0,4350000
1825,4,3,3,1,1,6975000
1050,2,2,1,0,1,4270000
1700,3,3,2,1,0,6030000
1700,3,2,1,1,0,5780000
3225,4,5,3,1,1,9325000
7015,5,6,3,1,1,14825000
600,1,1,1,1,0,2480000
435,1,1,1,1,1,1700000
2050,4,3,3,1,1,7675000
2100,4,3,3,0,0,7625000
3000,5,4,3,1,0,9205000
850,1,1,1,1,0,2480000
1020,2,2,1,0,1,4270000
754,2,2,1,0,1,3570000
1151,3,2,3,1,0,5305000
1471,3,2,2,1,0,5180000
560,1,2,1,1,0,2680000
771,1,1,2,1,1,2600000
1058,2,2,1,1,1,4300000
815,2,1,1,0,1,3370000
672,1,1,1,1,0,2480000
1602,3,3,3,1,0,6155000
7304,6,6,3,1,0,15405000
700,2,2,1,1,0,3580000
1151,4,2,0,1,0,5830000
1400,4,2,1,1,0,5880000
1420,3,2,2,0,1,5170000
1475,3,2,3,0,1,5295000
1400,3,3,2,1,0,5330000
600,1,1,1,1,0,2480000
380,1,1,0,0,0,1600000
1100,2,2,1,1,1,4300000
6015,5,2,0,1,1,12950000
6435,5,3,3,1,0,13355000
2160,4,4,2,1,1,7700000
2775,4,2,1,0,0,7950000
7224,4,2,0,1,1,13350000
900,2,3,1,1,0,3730000
1035,2,2,2,1,1,4400000
660,2,2,1,1,1,3600000
600,1,1,0,0,0,2400000
350,1,1,1,0,0,1650000
1375,3,2,1,1,1,5100000
1931,3,3,3,1,0,6155000
4004,4,2,0,1,1,9850000
6875,5,5,2,1,1,14100000
