Area in sq ft,BHK,Bathroom,Balcony,Parking,Furnishing,Price in rupees
650,1,1,1,1,1,2440000
2538,3,4,3,1,0,7645000
1295,2,2,2,0,0,4290000
1825,4,3,3,1,1,6915000
1050,2,2,1,0,1,4210000
1700,3,3,2,1,0,5970000
1700,3,2,1,1,0,5720000
3225,4,5,3,1,1,9265000
7015,5,6,3,1,1,14765000
600,1,1,1,1,0,2420000
435,1,1,1,1,1,1640000
2050,4,3,3,1,1,7615000
2100,4,3,3,0,0,7565000
3000,5,4,3,1,0,9145000
850,1,1,1,1,0,2420000
1020,2,2,1,0,1,4210000
754,2,2,1,0,1,3510000
1151,3,2,3,1,0,5245000
1471,3,2,2,1,0,5120000
560,1,2,1,1,0,2620000
771,1,1,2,1,1,2540000
1058,2,2,1,1,1,4240000
815,2,1,1,0,1,3310000
672,1,1,1,1,0,2420000
1602,3,3,3,1,0,6095000
7304,6,6,3,1,0,15345000
700,2,2,1,1,0,3520000
1151,4,2,0,1,0,5750000
1400,4,2,1,1,0,5820000
1420,3,2,2,0,1,5110000
1475,3,2,3,0,1,5235000
1400,3,3,2,1,0,5270000
600,1,1,1,1,0,2420000
380,1,1,0,0,0,1520000
1100,2,2,1,1,1,4240000
6015,5,2,0,1,1,12870000
6435,5,3,3,1,0,13295000
2160,4,4,2,1,1,7640000
2775,4,2,1,0,0,7890000
7224,4,2,0,1,1,13270000
900,2,3,1,1,0,3670000
1035,2,2,2,1,1,4340000
660,2,2,1,1,1,3540000
600,1,1,0,0,0,2320000
350,1,1,1,0,0,1590000
1375,3,2,1,1,1,5040000
1931,3,3,3,1,0,6095000
4004,4,2,0,1,1,9770000
6875,5,5,2,1,1,14040000
