Area in sq ft,BHK,Bathroom,Balcony,Parking,Furnishing,Price in rupees
650,1,1,1,1,1,3640000
2538,3,4,3,1,0,8815000
1295,2,2,2,0,0,5430000
1825,4,3,3,1,1,8115000
1050,2,2,1,0,1,5380000
1700,3,3,2,1,0,7140000
1700,3,2,1,1,0,6890000
3225,4,5,3,1,1,10465000
7015,5,6,3,1,1,15965000
600,1,1,1,1,0,3590000
435,1,1,1,1,1,2840000
2050,4,3,3,1,1,8815000
2100,4,3,3,0,0,8705000
3000,5,4,3,1,0,10315000
850,1,1,1,1,0,3590000
1020,2,2,1,0,1,5380000
754,2,2,1,0,1,4680000
1151,3,2,3,1,0,6415000
1471,3,2,2,1,0,6290000
560,1,2,1,1,0,3790000
771,1,1,2,1,1,3740000
1058,2,2,1,1,1,5440000
815,2,1,1,0,1,4480000
672,1,1,1,1,0,3590000
1602,3,3,3,1,0,7265000
7304,6,6,3,1,0,16515000
700,2,2,1,1,0,4690000
1151,4,2,0,1,0,6800000
1400,4,2,1,1,0,6990000
1420,3,2,2,0,1,6280000
1475,3,2,3,0,1,6405000
1400,3,3,2,1,0,6440000
600,1,1,1,1,0,3590000
380,1,1,0,0,0,2540000
1100,2,2,1,1,1,5440000
6015,5,2,0,1,1,13950000
6435,5,3,3,1,0,14465000
2160,4,4,2,1,1,8840000
2775,4,2,1,0,0,9030000
7224,4,2,0,1,1,14350000
900,2,3,1,1,0,4840000
1035,2,2,2,1,1,5540000
660,2,2,1,1,1,4740000
600,1,1,0,0,0,3340000
350,1,1,1,0,0,2730000
1375,3,2,1,1,1,6240000
1931,3,3,3,1,0,7265000
4004,4,2,0,1,1,10850000
6875,5,5,2,1,1,15240000
