Area in sq ft,BHK,Bathroom,Balcony,Parking,Furnishing,Price in rupees
650,1,1,1,1,1,3480000
2538,3,4,3,1,0,8655000
1295,2,2,2,0,0,5270000
1825,4,3,3,1,1,7955000
1050,2,2,1,0,1,5220000
1700,3,3,2,1,0,6980000
1700,3,2,1,1,0,6730000
3225,4,5,3,1,1,10305000
7015,5,6,3,1,1,15805000
600,1,1,1,1,0,3430000
435,1,1,1,1,1,2680000
2050,4,3,3,1,1,8655000
2100,4,3,3,0,0,8545000
3000,5,4,3,1,0,10155000
850,1,1,1,1,0,3430000
1020,2,2,1,0,1,5220000
754,2,2,1,0,1,4520000
1151,3,2,3,1,0,6255000
1471,3,2,2,1,0,6130000
560,1,2,1,1,0,3630000
771,1,1,2,1,1,3580000
1058,2,2,1,1,1,5280000
815,2,1,1,0,1,4320000
672,1,1,1,1,0,3430000
1602,3,3,3,1,0,7105000
7304,6,6,3,1,0,16355000
700,2,2,1,1,0,4530000
1151,4,2,0,1,0,6665000
1400,4,2,1,1,0,6830000
1420,3,2,2,0,1,6120000
1475,3,2,3,0,1,6245000
1400,3,3,2,1,0,6280000
600,1,1,1,1,0,3430000
380,1,1,0,0,0,2405000
1100,2,2,1,1,1,5280000
6015,5,2,0,1,1,13815000
6435,5,3,3,1,0,14305000
2160,4,4,2,1,1,8680000
2775,4,2,1,0,0,8870000
7224,4,2,0,1,1,14215000
900,2,3,1,1,0,4680000
1035,2,2,2,1,1,5380000
660,2,2,1,1,1,4580000
600,1,1,0,0,0,3205000
350,1,1,1,0,0,2570000
1375,3,2,1,1,1,6080000
1931,3,3,3,1,0,7105000
4004,4,2,0,1,1,10715000
6875,5,5,2,1,1,15080000
