Area in sq ft,BHK,Bathroom,Balcony,Parking,Furnishing,Price in rupees
650,1,1,1,1,1,3500000
2538,3,4,3,1,0,8675000
1295,2,2,2,0,0,5290000
1825,4,3,3,1,1,7975000
1050,2,2,1,0,1,5240000
1700,3,3,2,1,0,7000000
1700,3,2,1,1,0,6750000
3225,4,5,3,1,1,10325000
7015,5,6,3,1,1,15825000
600,1,1,1,1,0,3450000
435,1,1,1,1,1,2700000
2050,4,3,3,1,1,8675000
2100,4,3,3,0,0,8565000
3000,5,4,3,1,0,10175000
850,1,1,1,1,0,3450000
1020,2,2,1,0,1,5240000
754,2,2,1,0,1,4540000
1151,3,2,3,1,0,6275000
1471,3,2,2,1,0,6150000
560,1,2,1,1,0,3650000
771,1,1,2,1,1,3600000
1058,2,2,1,1,1,5300000
815,2,1,1,0,1,4340000
672,1,1,1,1,0,3450000
1602,3,3,3,1,0,7125000
7304,6,6,3,1,0,16375000
700,2,2,1,1,0,4550000
1151,4,2,0,1,0,6680000
1400,4,2,1,1,0,6850000
1420,3,2,2,0,1,6140000
1475,3,2,3,0,1,6265000
1400,3,3,2,1,0,6300000
600,1,1,1,1,0,3450000
380,1,1,0,0,0,2420000
1100,2,2,1,1,1,5300000
6015,5,2,0,1,1,13830000
6435,5,3,3,1,0,14325000
2160,4,4,2,1,1,8700000
2775,4,2,1,0,0,8890000
7224,4,2,0,1,1,14230000
900,2,3,1,1,0,4700000
1035,2,2,2,1,1,5400000
660,2,2,1,1,1,4600000
600,1,1,0,0,0,3220000
350,1,1,1,0,0,2590000
1375,3,2,1,1,1,6100000
1931,3,3,3,1,0,7125000
4004,4,2,0,1,1,10730000
6875,5,5,2,1,1,15100000
