Area in sq ft,BHK,Bathroom,Balcony,Parking,Furnishing,Price in rupees
650,1,1,1,1,1,3600000
2538,3,4,3,1,0,8770000
1295,2,2,2,0,0,5380000
1825,4,3,3,1,1,8075000
1050,2,2,1,0,1,5335000
1700,3,3,2,1,0,7095000
1700,3,2,1,1,0,6845000
3225,4,5,3,1,1,10425000
7015,5,6,3,1,1,15925000
600,1,1,1,1,0,3545000
435,1,1,1,1,1,2800000
2050,4,3,3,1,1,8775000
2100,4,3,3,0,0,8655000
3000,5,4,3,1,0,10270000
850,1,1,1,1,0,3545000
1020,2,2,1,0,1,5335000
754,2,2,1,0,1,4635000
1151,3,2,3,1,0,6370000
1471,3,2,2,1,0,6245000
560,1,2,1,1,0,3745000
771,1,1,2,1,1,3700000
1058,2,2,1,1,1,5400000
815,2,1,1,0,1,4435000
672,1,1,1,1,0,3545000
1602,3,3,3,1,0,7220000
7304,6,6,3,1,0,16470000
700,2,2,1,1,0,4645000
1151,4,2,0,1,0,6750000
1400,4,2,1,1,0,6945000
1420,3,2,2,0,1,6235000
1475,3,2,3,0,1,6360000
1400,3,3,2,1,0,6395000
600,1,1,1,1,0,3545000
380,1,1,0,0,0,2485000
1100,2,2,1,1,1,5400000
6015,5,2,0,1,1,13905000
6435,5,3,3,1,0,14420000
2160,4,4,2,1,1,8800000
2775,4,2,1,0,0,8980000
7224,4,2,0,1,1,14305000
900,2,3,1,1,0,4795000
1035,2,2,2,1,1,5500000
660,2,2,1,1,1,4700000
600,1,1,0,0,0,3285000
350,1,1,1,0,0,2680000
1375,3,2,1,1,1,6200000
1931,3,3,3,1,0,7220000
4004,4,2,0,1,1,10805000
6875,5,5,2,1,1,15200000
